text,sent
"

У кого как разрешилась ситуация ? Также попали с айфоном (((( Отдали и iphone и деньги в итоге никто на связь не выходит , сначала кормили завтраками, а потом и вовсе заблокировали , не можем дозвониться ни на телефоны указанные на сайте, ни на телефон горе мастера +79661257555, юр лицо указанное на сайте ликвидировано в 2016 году квитанции липовые , планируем написать  заявление в полицию и на мастера и на чудо женщину которая принимает заказы , у сайтов видать куча клонов с разными номерами , но женщина отвечает одна и та же. Обидно ((( не жалко телефон , жалко информации в телефоне , а также то что существуют такие мрази которые вместо того чтобы добросовестно работать и зарабатывать легальные деньги , промышляют мошенническими действиями , а это требует наказания , чтобы не повадно было					 
				
",0
"

Присоединяюсь к негативным отзывам о Marketing Sales Consulting, сожалею что не поверила отзыву Кабылкиной (ей тут ответили), ну вот так они работают. Вернее работа состоит в ""отписках"" отговорках и отмазках.  По делу их волнуют только Акты, которые они подсовывают постоянно на подпись, хотя работы и не выполнены. ДА, ЧИТАЙТЕ ДОГОВОР, по которому сначала оплата потом работа. А работу ребята выполняют крайне вяло и ""халтурно"", как только вы показываете им что хотите больше чем шаблон(за 240 тысяч -имею право!!!),их это повергает в затяжной ступор, а дальше вам скажут ,что это ""вкусовщина"" и не стоит над этим заморачиваться. Вообщем если вам нужно качество и сроки (а сроки это вообще отдельная тема) вам НЕ СЮДА. ДА, товарищ Хизский Иван в настоящее время набирает группу в ВК где обещает ""Создадим бизнес прямо у Вас на глазах в прямом эфире, Друзья!!! ОН(они) ЗА 8 месяцев с этим не справился за 240 000 руб. Восемь месяцев ВОЗНИ на месте. Посмотрите на скрин сайта и это за 8 месяцев!!! вот так выглядит страница , на весь экран разбросанные кнопки и где то внизу сам товар...Всё удобно и качественно-правда?) за 240 000 рублей и за 8 месяцев якобы работы.ХАЛТУРА И БЕЗОТВЕТСТВЕННОСТЬ					 
				
",0
"

История, которая возможно поможет избежать мошенничества. Сломался мой малыш Айпад 4 серии, и решила я его отремонтировать, совсем не думая о том, что есть такой способ кинуть тебя на бабки и на технику, которую ты отдаёшь в «надежные» руки мастеру. Как все было... набрала я в инете ремонт айпад на проспекте мира и выпал адрес http://xn--i1ahche2b3a.xn--e1aoddhq.xn--80aeu qeb3b.xn--p1ai/ я позвонила по телефону указанному на сайте 84951502762 взяла трубку женщина, приняла заказ . Через некоторое время мне позвонил «мастер-фломастер» с телефона 89057018976  и сказал, что подъедет. Приехал ко мне на работу( зашёл в офис и под камерами) выписал договор, взял 3000 предоплату и сломанный айпад, сказал, через 4 дня верну. Прошло 5 дней тишина 6,7...пошла вторая неделя «мастер» перестал брать трубки... я звонила по 100 раз на дню... он кормил пеня завтраками нёс чушь... из серии завтра после завтра и тд... и тут я поняла КИНУЛИ! я звонила на городской там бабка на телефоне несла чушь говорила звоните своему мастеру и кидала трубку... я продолжала так звонить писать ещё неделю) но потом мы решили позвонить с другого телефона на тел с этого сайта эта оператор приняла звонок уточнила, что сломалось, и вуаля звонит наш герой) договариваемся с ним встретиться, говоря, что сломался айпад, беда беда) подходим к назначенному месту) ну здрасти где мой айпад. Невозмутимо этот гад начинает нести чушь, что мол айпад в офисе ( которого, на минуточку, не существует) типа кому то звонит... я говорю пошли писать заявление в полицию, если вернёшь айпад, заберу заявление! И тут тадам, сразу деньги вернул и айпад который кстати не отремонтирован... вот такая вот история... будьте осторожны, не отдавайте свою технику не понятно куда и кому .					 
				
",0
"

Аналогичная ситуация, предложили за 5 000 руб.удаление негативного отзыва о моей организации. Какой-то аноним написал отзыв, что не получил товар оплаченный организации. Но, оплату производил якобы в 14 году. Моя организация зарегистрирована в 18 году). Стоило начать рекламировать сайт в интернет - пришли мошенники, которые пишут отзывы и удаляют за деньги. Даже тариф предложили 5 тр сразу + если еще появятся по 7 тр. в дальнейшем. К сожалению не на того напали, оплату не получили					 
				
",0
"

Устроился в компанию Сервер2Б менеджером по работе с клиентами.Далее, что меняна устроило: 1. Заставили перебирать клиентов бывшего менеджера, (мне это не интересно)2.когда я устраивался на работу никто мне не сказал, что нужно делать холодные звонки.3. в трудовом договоре рабочий день с 9-00, на собеседовании  сказали, что с 10-00.4.проблема с кондиционером, кому-то холодно кому-то жарко, не смогли договорится, все ходят то включают то выключают кондей.5.одним днем рассказали, как пользоваться CRM далее сам разбирайся.6.за опоздания придираются, просят писать объяснительную (в прошлой компании такого небыло )7. требовали выполнять план продаж  от 500 000 р и выше , это не реально.За оклад в 60000 р я не готов так работать, поэтому уволился					 
				
",0
"

Добрый день кто попался на удочку этих оферистов. Оформила я с ними договор обещали 2 000 000 млн под 6% годовых. Только нужно оплатить 100 000 р. некий сбор за то, что они мне быстро найдут инвестора с такими условиями. После этого мне пришло на эл. почту письмо типа мне одобряют сумму, но нужно опять платить. Я вроде пришла за деньгами, а с меня последнее вытянули. Денег мне ни кто так и не перевел. Я с документами пошла по юристам которые говорили все сделаем и решим, но как доходило до их вознаграждения волосы дыбом. И попала я в Региональную юридическую службу приняла меня Валентина Андреевна показала похожее решение. Деваться было не куда я ей поверила и не жалею. Мы выиграли. Спасибо ей. Я получила свои деньги обратно еще и с неустойками. Номер организации 8 499 390 36 99					 
				
",0
"

www.rem-iphone24.ruhttp://iphone-repair24.ru/и куча сайт клонов типа http://www.iphone-services.ru/Та же ситуация.Не могли бы вы отправить на online_ro@mail.ru паспорт этого гражданина и вообще любые бумаги которые он дал, я собираю всю информацию.Спасибо.					 
				
",0
"

мастер обманул меня,надо было оказываеться только мат плату поменять а он это несделал а начал накручивать что совсем плохо с моим компом и не то полез делать,,после его визита комп вообще выключился,я хочу вернуть свои деньги.					 
				
",0
"

Телефон (i phone 6) самопроизвольно перезагружался весь день.Вызвал через сайт: http://iphone-repair24.ru/ тел. 8 (495) 150-08-32 . Через 40 минут приехал мастера по имени Петр 8-966-125-75-55 ко мне домой. На кухне разобрал телефон, сообщил что у меня ужасная батарейка и скорее всего телефон каратнуло, необходимо телефон отдать на диагностику и дать залог 5000 р. Уверил что если ремонт будет дешевле, разницу вернут. Сам телефон будет готов к вечеру следующего дня (14.06.2018).И тут начинается самое интересное, звонки в контору , где работают каждый день новые сотрудницы (дома на удаленном доступе), записывающее все интересующие меня сведения (когда будет готов телефон). В этой ""замечательной"" фирме уверяли что передали всю информацию некому менеджеру Олегу (8-985-437-97-39) и он с Вами обязательно свяжется.Итак по состоянию на 18.06.2018 со мной ни разу данный менеджер не связался, на звонки и смс с моей стороны не ответил.Ну а теперь доблестный ""мастер"" Петр , мило со мной беседовал и переписывался все дни до вечера пятницы, уверяя что еще пару часов и все будет готово. В итоге Петя тоже пропал.Вообщем					 
				Подробнее о Сайт ремонта техники Apple www.rem-iphone24.ru...
",0
"

Звук у телевизора Филипс пропадает через 15 мин. после включения. ООО "" Баланс"" не смогло устранить неисправность. Три раза брали деньги за ремонт, диагностику и выезд мастера. Эта фирма должна прекратить своё существование. Взять деньги и не выдать результат: это мошенничество .  Держитесь подальше от этого сервиса.					 
				
",0
"

В Воронеже обратился в сервис , Обратился с такой проблемой- телефон 5s стал постоянно перезагружаться и не всегда успешно! Осмотр на месте не дал результата и мне предложили оставить его на диагностику. После уточнения того момента, что диагностика бесплатна, я естественно согласился. На следующий день мне позвонили и «обрадовали» что мой телефон отремонтирован и цена ремонта 5000! Я был в недоумении, т к цена ремонта вышла чуть не дороже самого телефона, т к его состояние оставляло желать лучшего! И согласия на ремонт у меня ни кто не спросил. Так как очень нуждался в телефоне скрипя зубами расплатился и с неприятным осадком забрал свой телефон! Хотелось по скорее забыть об этом происшествии, но что вы думаете?! Ровно через месяц с телефоном начало твориться то же безобразие! Неисправность начала прогрессировать и я снова обратился в сервис. И каково было моё удивление, когда мне ответили что гарантия на эту работу месяц и она закончилась! На фоне всей ситуации момент конечно очень неприятный!!! После начали снова осматривать мой телефон и предположили что возможно дело в аккумуляторе. Я согласился на замену и она естественно ни чего не дала! И самое смешное что родной аккумулятор демонтировался так что пришёл в непригодность! Еще начали рассказывать что скорее всего дело а моем зарядном устройстве, хотя этой зарядкой дома я заряжаю ещё два айфона! В итоге предложили снова сдать телефон на такой же ремонт, только за 4000. Я в слух прикинул-4000+1400аккомулят� �р+5000 уже отдал и гарантийные условия не меняются) не успел это проговорить как мастер сам ответил, что в ремонте нет смысла, т к рыночная цена моего тел в его состоянии 5000, причём рабочего )) в общем я улыбнулся и попросил жалобную книгу! Вот такое неприятное знакомство у меня произошло с данным сервисе!  Мало того, я зашёл на официальный сайт ipochino и почитал отзывы. Все они оказались как на подбор-один лучше другого, прям приторно-слащавые! Я естественно оставил свой. И что вы думаете?! Отзыва моего нет и не было и по сей день! Вот такая вот сеть по разводу клиентов! После всегоэтого  я решил сделать техническую экспертизу  качества ремонта и довести этот вопрос до логического конца. Всем добра и честных сервисов) будьте осмотрительнее друзья					 
				
",0
